Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance
16,0,45.6136,32.1804,Warrior,78.3022,78.6999,33.5178,2.9170,6.5631,1.8972,200,57.1864
16,1,51.9778,36.3010,Warrior,78.3022,78.6999,33.5178,2.9170,6.5631,1.8972,200,57.1864
16,2,53.5156,40.9701,Warrior,78.3022,78.6999,33.5178,2.9170,6.5631,1.8972,200,57.1864
16,3,53.5156,45.1114,Warrior,78.3022,78.6999,33.5178,2.9170,6.5631,1.8972,200,57.1864
16,4,54.6293,49.0154,Warrior,78.3022,78.6999,33.5178,2.9170,6.5631,1.8972,200,57.1864
16,5,54.6293,51.3686,Warrior,78.3022,78.6999,33.5178,2.9170,6.5631,1.8972,200,57.1864
16,6,55.5592,52.8177,Warrior,78.3022,78.6999,33.5178,2.9170,6.5631,1.8972,200,57.1864
16,7,56.1751,53.6662,Warrior,78.3022,78.6999,33.5178,2.9170,6.5631,1.8972,200,57.1864
16,8,56.1751,54.0863,Warrior,78.3022,78.6999,33.5178,2.9170,6.5631,1.8972,200,57.1864
16,9,56.7998,54.5885,Warrior,78.3022,78.6999,33.5178,2.9170,6.5631,1.8972,200,57.1864
16,10,57.1864,55.4223,Warrior,78.3022,78.6999,33.5178,2.9170,6.5631,1.8972,200,57.1864
16,11,57.1864,55.8963,Warrior,78.3022,78.6999,33.5178,2.9170,6.5631,1.8972,200,57.1864
16,12,57.1864,56.1923,Warrior,78.3022,78.6999,33.5178,2.9170,6.5631,1.8972,200,57.1864
16,13,57.1864,56.6267,Warrior,78.3022,78.6999,33.5178,2.9170,6.5631,1.8972,200,57.1864
17,0,44.9358,31.7437,Warrior,83.2321,64.0487,44.7805,1.9262,6.0126,1.9111,200,57.4873
17,1,49.0615,36.2410,Warrior,83.2321,64.0487,44.7805,1.9262,6.0126,1.9111,200,57.4873
17,2,49.0615,40.3743,Warrior,83.2321,64.0487,44.7805,1.9262,6.0126,1.9111,200,57.4873
17,3,50.7147,43.7617,Warrior,83.2321,64.0487,44.7805,1.9262,6.0126,1.9111,200,57.4873
17,4,55.7741,46.5178,Warrior,83.2321,64.0487,44.7805,1.9262,6.0126,1.9111,200,57.4873
17,5,56.3780,49.4303,Warrior,83.2321,64.0487,44.7805,1.9262,6.0126,1.9111,200,57.4873
17,6,56.3780,52.3462,Warrior,83.2321,64.0487,44.7805,1.9262,6.0126,1.9111,200,57.4873
17,7,57.4202,53.6359,Warrior,83.2321,64.0487,44.7805,1.9262,6.0126,1.9111,200,57.4873
17,8,57.4202,54.6104,Warrior,83.2321,64.0487,44.7805,1.9262,6.0126,1.9111,200,57.4873
17,9,57.4854,55.6075,Warrior,83.2321,64.0487,44.7805,1.9262,6.0126,1.9111,200,57.4873
17,10,57.4854,56.0566,Warrior,83.2321,64.0487,44.7805,1.9262,6.0126,1.9111,200,57.4873
17,11,57.4854,56.6385,Warrior,83.2321,64.0487,44.7805,1.9262,6.0126,1.9111,200,57.4873
17,12,57.4873,56.9707,Warrior,83.2321,64.0487,44.7805,1.9262,6.0126,1.9111,200,57.4873
18,0,48.2641,30.8516,Warrior,76.3737,77.2320,21.4334,4.9756,19.9852,1.9539,200,51.0536
18,1,48.2641,36.4362,Warrior,76.3737,77.2320,21.4334,4.9756,19.9852,1.9539,200,51.0536
18,2,48.2641,42.2057,Warrior,76.3737,77.2320,21.4334,4.9756,19.9852,1.9539,200,51.0536
18,3,50.1514,45.2529,Warrior,76.3737,77.2320,21.4334,4.9756,19.9852,1.9539,200,51.0536
18,4,50.1514,47.0999,Warrior,76.3737,77.2320,21.4334,4.9756,19.9852,1.9539,200,51.0536
18,5,50.7693,48.3547,Warrior,76.3737,77.2320,21.4334,4.9756,19.9852,1.9539,200,51.0536
18,6,50.9620,49.0949,Warrior,76.3737,77.2320,21.4334,4.9756,19.9852,1.9539,200,51.0536
18,7,50.9620,49.5627,Warrior,76.3737,77.2320,21.4334,4.9756,19.9852,1.9539,200,51.0536
18,8,50.9620,50.1130,Warrior,76.3737,77.2320,21.4334,4.9756,19.9852,1.9539,200,51.0536
18,9,50.9899,50.4102,Warrior,76.3737,77.2320,21.4334,4.9756,19.9852,1.9539,200,51.0536
18,10,51.0536,50.6037,Warrior,76.3737,77.2320,21.4334,4.9756,19.9852,1.9539,200,51.0536
19,0,45.5599,33.5078,Warrior,87.1064,67.4793,36.1965,2.3667,6.8511,1.8668,200,56.3329
19,1,45.5599,39.5863,Warrior,87.1064,67.4793,36.1965,2.3667,6.8511,1.8668,200,56.3329
19,2,54.1591,42.3616,Warrior,87.1064,67.4793,36.1965,2.3667,6.8511,1.8668,200,56.3329
19,3,54.1591,44.6280,Warrior,87.1064,67.4793,36.1965,2.3667,6.8511,1.8668,200,56.3329
19,4,54.1591,47.3592,Warrior,87.1064,67.4793,36.1965,2.3667,6.8511,1.8668,200,56.3329
19,5,54.1591,50.3160,Warrior,87.1064,67.4793,36.1965,2.3667,6.8511,1.8668,200,56.3329
19,6,54.3715,52.0504,Warrior,87.1064,67.4793,36.1965,2.3667,6.8511,1.8668,200,56.3329
19,7,56.2297,53.5087,Warrior,87.1064,67.4793,36.1965,2.3667,6.8511,1.8668,200,56.3329
19,8,56.2416,53.9865,Warrior,87.1064,67.4793,36.1965,2.3667,6.8511,1.8668,200,56.3329
19,9,56.2416,54.3944,Warrior,87.1064,67.4793,36.1965,2.3667,6.8511,1.8668,200,56.3329
19,10,56.2416,55.0406,Warrior,87.1064,67.4793,36.1965,2.3667,6.8511,1.8668,200,56.3329
19,11,56.3329,55.4564,Warrior,87.1064,67.4793,36.1965,2.3667,6.8511,1.8668,200,56.3329
19,12,56.3329,55.8459,Warrior,87.1064,67.4793,36.1965,2.3667,6.8511,1.8668,200,56.3329
20,0,50.6346,32.4396,Warrior,87.7533,78.2631,33.2798,0.6782,0.0256,1.9693,200,58.3833
